date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-02,603890.SH,春秋电子,硬逻辑,强势延续,春秋电子延续 AI PC/消费电子链强势，一字封板强化辨识度。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:02，开板0次,待回填,待回填,待回填,待回填,待回填,AI PC/消费电子；高位连板
2026-06-02,600403.SH,大有能源,硬逻辑,分歧换手,前一日资源供给逻辑延续，煤炭股仍有连板反馈。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:30:00，开板0次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-02,600121.SH,郑州煤电,硬逻辑,分歧换手,前一日资源供给逻辑延续，煤炭股仍有连板反馈。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:31:49，开板2次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；待观察
2026-06-02,002897.SZ,意华股份,硬逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:18，开板0次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,002851.SZ,麦格米特,硬逻辑,分歧换手,其他电源 相关方向涨停，更多催化待公告/新闻核验。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:35:42，开板1次,待回填,待回填,待回填,待回填,待回填,其他电源；待观察
2026-06-02,002975.SZ,博杰股份,硬逻辑,分歧换手,AI 硬件反弹扩散至设备端，自动化/通用设备资金回流。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:37:06，开板1次,待回填,待回填,待回填,待回填,待回填,机器人/自动化；待观察
2026-06-02,002957.SZ,科瑞技术,硬逻辑,分歧换手,AI 硬件反弹扩散至设备端，自动化/通用设备资金回流。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:38:00，开板1次,待回填,待回填,待回填,待回填,待回填,机器人/自动化；待观察
2026-06-02,301419.SZ,阿莱德,硬逻辑,分歧换手,英伟达隔夜上涨、CPO 部署节奏超预期，光通信/光纤链集体反弹。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:38:45，开板2次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-02,002579.SZ,中京电子,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:39:33，开板3次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；高换手分歧
2026-06-02,603678.SH,火炬电子,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:15:42，开板2次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；待观察
2026-06-02,920128.BJ,胜业电气,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:15:59，开板0次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；高换手分歧
2026-06-02,301566.SZ,达利凯普,硬逻辑,分歧换手,AI 服务器 MLCC 用量大增、PCB/电子布/被动元件供需预期升温。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:28:54，开板0次,待回填,待回填,待回填,待回填,待回填,AI硬件/被动元件/PCB；待观察
