date,code,name,logic_level,expected_scenario,key_catalyst,support_level,resistance_level,key_observation_level,actual_1d_return,actual_3d_return,actual_5d_return,actual_outcome,hit_expectation,notes
2026-06-03,301366.SZ,一博科技,硬逻辑,分歧换手,AI 硬件与芯片产业链领涨，先进封装、电子化学品、元件和半导体方向受资金聚焦。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:00，开板1次,待回填,待回填,待回填,待回填,待回填,AI硬件/芯片封装；待观察
2026-06-03,600255.SH,鑫科材料,硬逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:25:00，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,600487.SH,亨通光电,硬逻辑,分歧换手,英伟达 Spectrum-X 以太网硅光技术全面量产，CPO/光通信延续强势，亨通光电等继续晋级。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:32:08，开板1次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-03,601231.SH,环旭电子,硬逻辑,分歧换手,英伟达 Spectrum-X 以太网硅光技术全面量产，CPO/光通信延续强势，亨通光电等继续晋级。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:33:53，开板2次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-03,002156.SZ,通富微电,硬逻辑,分歧换手,AI 硬件与芯片产业链领涨，先进封装、电子化学品、元件和半导体方向受资金聚焦。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:36:39，开板2次,待回填,待回填,待回填,待回填,待回填,AI硬件/芯片封装；待观察
2026-06-03,603236.SH,移远通信,硬逻辑,分歧换手,英伟达 Spectrum-X 以太网硅光技术全面量产，CPO/光通信延续强势，亨通光电等继续晋级。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:37:51，开板3次,待回填,待回填,待回填,待回填,待回填,光通信/CPO；待观察
2026-06-03,600403.SH,大有能源,硬逻辑,强势延续,迎峰度夏需求、供给扰动和煤价预期强化，郑州煤电、大有能源走出 3 连板。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:43:53，开板0次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；高位连板
2026-06-03,001896.SZ,豫能控股,硬逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封09:48:45，开板1次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-03,688655.SH,迅捷兴,硬逻辑,分歧换手,AI 硬件与芯片产业链领涨，先进封装、电子化学品、元件和半导体方向受资金聚焦。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:22:39，开板0次,待回填,待回填,待回填,待回填,待回填,AI硬件/芯片封装；待观察
2026-06-03,002167.SZ,东方锆业,硬逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封10:40:36，开板0次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,600578.SH,京能电力,硬逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:15:54，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
2026-06-03,688268.SH,华特气体,硬逻辑,分歧换手,AI 硬件与芯片产业链领涨，先进封装、电子化学品、元件和半导体方向受资金聚焦。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:41:33，开板5次,待回填,待回填,待回填,待回填,待回填,AI硬件/芯片封装；待观察
2026-06-03,600516.SH,方大炭素,硬逻辑,分歧换手,玻璃基板、培育钻石、超硬材料和金属材料受 AI 芯片散热/封装映射及供需预期催化。,待核验,待核验,竞价/封单/同题材涨停家数；首封13:54:08，开板6次,待回填,待回填,待回填,待回填,待回填,有色/化工材料；待观察
2026-06-03,600121.SH,郑州煤电,硬逻辑,强势延续,迎峰度夏需求、供给扰动和煤价预期强化，郑州煤电、大有能源走出 3 连板。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:19:31，开板1次,待回填,待回填,待回填,待回填,待回填,煤炭/资源供给；高位连板
2026-06-03,600396.SH,华电辽能,硬逻辑,分歧换手,电力板块午后反复活跃，绿电直连、算电融合和迎峰度夏保供逻辑共振。,待核验,待核验,竞价/封单/同题材涨停家数；首封14:21:43，开板0次,待回填,待回填,待回填,待回填,待回填,电力/能源保供；待观察
